ScientificName	AphiaID	Match type	LSID	ScientificName	Authority	AphiaID_accepted	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
Acanthonyx lunulatus	107312	exact	urn:lsid:marinespecies.org:taxname:107312	Acanthonyx lunulatus	(Risso, 1816)	107312	Acanthonyx lunulatus	(Risso, 1816)	Animalia	Arthropoda	Malacostraca	Decapoda	Epialtidae	Acanthonyx		lunulatus	
Actinia equina	100803	exact	urn:lsid:marinespecies.org:taxname:100803	Actinia equina	(Linnaeus, 1758)	100803	Actinia equina	(Linnaeus, 1758)	Animalia	Cnidaria	Anthozoa	Actiniaria	Actiniidae	Actinia		equina	
Aiptasia	100718	exact	urn:lsid:marinespecies.org:taxname:100718	Aiptasia	Gosse, 1858	100718	Aiptasia	Gosse, 1858	Animalia	Cnidaria	Anthozoa	Actiniaria	Aiptasiidae	Aiptasia			
Amphibalanus	415046	exact	urn:lsid:marinespecies.org:taxname:415046	Amphibalanus	Pitombo, 2004	415046	Amphibalanus	Pitombo, 2004	Animalia	Arthropoda	Hexanauplia	Sessilia	Balanidae	Amphibalanus			
Anemonia viridis	100808	exact	urn:lsid:marinespecies.org:taxname:100808	Anemonia viridis	(Forsskål, 1775)	100808	Anemonia viridis	(Forsskål, 1775)	Animalia	Cnidaria	Anthozoa	Actiniaria	Actiniidae	Anemonia		viridis	
Aplysia	ambiguous															
Branchiomma lucullanum	130882	exact	urn:lsid:marinespecies.org:taxname:130882	Branchiomma lucullanum	(Delle Chiaje, 1828)	130882	Branchiomma lucullanum	(Delle Chiaje, 1828)	Animalia	Annelida	Polychaeta	Sabellida	Sabellidae	Branchiomma		lucullanum	
Bunodactis (caribrina) gemmacea	100699	exact	urn:lsid:marinespecies.org:taxname:100699	Bunodactis	Verrill, 1899	100699	Bunodactis	Verrill, 1899	Animalia	Cnidaria	Anthozoa	Actiniaria	Actiniidae	Bunodactis			
Cellana rota	707486	exact	urn:lsid:marinespecies.org:taxname:707486	Cellana rota	(Gmelin, 1791)	707486	Cellana rota	(Gmelin, 1791)	Animalia	Mollusca	Gastropoda		Nacellidae	Cellana		rota	
Cerithium scabridum	139065	exact	urn:lsid:marinespecies.org:taxname:139065	Cerithium scabridum	Philippi, 1848	139065	Cerithium scabridum	Philippi, 1848	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Cerithiidae	Cerithium		scabridum	
Chiton	137779	exact	urn:lsid:marinespecies.org:taxname:137779	Chiton	Linnaeus, 1758	137779	Chiton	Linnaeus, 1758	Animalia	Mollusca	Polyplacophora	Chitonida	Chitonidae	Chiton			
