Acanthonyx lunulatus
Actinia equina
Aiptasia
Amphibalanus
Anemonia viridis
Aplysia
Branchiomma lucullanum
Bunodactis (caribrina) gemmacea
Cellana rota
Cerithium scabridum
Chiton
Columbella rustica
Conomurex persicus
Conus ventricosus
Dasychone lucullana
Dendropoma petraeum
Elysia ornata
Ergalatax martensi
Eriphia verrucosa
Fissurellidae
Holothuria (Holothuria) tubulosa
LIMPET
Littorina neritoides
Littorina punctata
Malleus regula
 Muricopsis cristata
Ostrea edulis
Ostrea edulis
Pachygrapsus transversus
PAGURIDAE
Palaemon elegans
Patella spp_
Perforatus perforatus
Phorcus articulatus
Phorcus turbinatus
Pinctada imbricata radiata
Pisania striata
POLYCHAETA
Actinia equina
Brachidontes pharaonis
CHTHAMALIDAE
Chthamalus stellatus
Dendropoma petraeum
Didemnum
Euraphia depressa
Fissurellidae
Hydrozoa
LIMPET
 Oculina patagonica
STYELIDAE
Vermetus triquetrus
Digenea simplex
Acanthophora nayadiformis
Acetabularia acetabulum
Alsidium
Amphiroa rigida
Anadyomene stellata
Bryopsis
Caulerpa mexicana
Caulerpa racemosa
CCA
CERAMIACEAE
Chondracanthus
Chondracanthus acicularis
Chondria
Cladophora
Cladophoropsis
Codium
Codium arabicum
Colpomenia sinuosa
Cystoseira
Dasya
Dasycladus vermicularis
Dictyopteris polypodioides
Dictyota
Digenea simplex
Ectocarpus
Ellisolandia elongata
Flabellia petiolata
Galaxaura rugosa
Gelidiella
Gelidium
Gelidium crinale
Gracilaria
Gymnogongrus griffithsiae
 Halopteris
Halopteris scoparia
Hypnea
Jania rubens
Laurencia
 Liagora favinosa
Nemalion helminthoides
Padina
Parvocaulis parvulus
Petalonia fascia
Polysiphonia
Porphyra
Pterocladiella capillacea
Rytiphlaea tinctoria
Sargassum
Scytosiphon lomentaria
Solieria filiformis
Spyridia
Stypopodium schimperi
Taonia atomaria
Turf
Ulva
 Ulva compressa
Valonia utricularis
