ScientificName	AphiaID	Match type	LSID	ScientificName	Authority	AphiaID_accepted	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
Acanthophora spicifera	211768	exact	urn:lsid:marinespecies.org:taxname:211768	Acanthophora spicifera	(M.Vahl) Børgesen, 1910	211768	Acanthophora spicifera	(M.Vahl) Børgesen, 1910	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Acanthophora		spicifera	
Acanthopleura granulata	386270	exact	urn:lsid:marinespecies.org:taxname:386270	Acanthopleura granulata	(Gmelin, 1791)	386270	Acanthopleura granulata	(Gmelin, 1791)	Animalia	Mollusca	Polyplacophora	Chitonida	Chitonidae	Acanthopleura		granulata	
Acmaea antillarum	744934	exact	urn:lsid:marinespecies.org:taxname:744934	Acmaea antillarum	(G. B. Sowerby I, 1834)	456586	Lottia antillarum	G. B. Sowerby I, 1834	Animalia	Mollusca	Gastropoda		Acmaeidae	Acmaea		antillarum	
Acmaea sp1	137616	exact	urn:lsid:marinespecies.org:taxname:137616	Acmaea	Eschscholtz, 1833	137616	Acmaea	Eschscholtz, 1833	Animalia	Mollusca	Gastropoda		Acmaeidae	Acmaea			
Acmaea sp2	137616	exact	urn:lsid:marinespecies.org:taxname:137616	Acmaea	Eschscholtz, 1833	137616	Acmaea	Eschscholtz, 1833	Animalia	Mollusca	Gastropoda		Acmaeidae	Acmaea			
Acmaea sp4	137616	exact	urn:lsid:marinespecies.org:taxname:137616	Acmaea	Eschscholtz, 1833	137616	Acmaea	Eschscholtz, 1833	Animalia	Mollusca	Gastropoda		Acmaeidae	Acmaea			
Actiniaria spp1	1360	exact	urn:lsid:marinespecies.org:taxname:1360	Actiniaria		1360	Actiniaria		Animalia	Cnidaria	Anthozoa	Actiniaria					
Agaricia agaricites	287911	exact	urn:lsid:marinespecies.org:taxname:287911	Agaricia agaricites	(Linnaeus, 1758)	287911	Agaricia agaricites	(Linnaeus, 1758)	Animalia	Cnidaria	Anthozoa	Scleractinia	Agariciidae	Agaricia		agaricites	
Amphiroa fragilissima	145099	exact	urn:lsid:marinespecies.org:taxname:145099	Amphiroa fragilissima	(Linnaeus) J.V.Lamouroux, 1816	145099	Amphiroa fragilissima	(Linnaeus) J.V.Lamouroux, 1816	Plantae	Rhodophyta	Florideophyceae	Corallinales	Corallinaceae	Amphiroa		fragilissima	
Amphiroa sp1	144003	exact	urn:lsid:marinespecies.org:taxname:144003	Amphiroa	J.V.Lamouroux, 1812	144003	Amphiroa	J.V.Lamouroux, 1812	Plantae	Rhodophyta	Florideophyceae	Corallinales	Corallinaceae	Amphiroa			
Aplysia dactylomela	138753	exact	urn:lsid:marinespecies.org:taxname:138753	Aplysia dactylomela	Rang, 1828	138753	Aplysia dactylomela	Rang, 1828	Animalia	Mollusca	Gastropoda	Aplysiida	Aplysiidae	Aplysia		dactylomela	
Ascidiidae spp	103443	exact	urn:lsid:marinespecies.org:taxname:103443	Ascidiidae	Herdman, 1882	103443	Ascidiidae	Herdman, 1882	Animalia	Chordata	Ascidiacea	Phlebobranchia	Ascidiidae				
Asparagopsis sp1	143809	exact	urn:lsid:marinespecies.org:taxname:143809	Asparagopsis	Montagne, 1840	143809	Asparagopsis	Montagne, 1840	Plantae	Rhodophyta	Florideophyceae	Bonnemaisoniales	Bonnemaisoniaceae	Asparagopsis			
Asparagopsis sp2	143809	exact	urn:lsid:marinespecies.org:taxname:143809	Asparagopsis	Montagne, 1840	143809	Asparagopsis	Montagne, 1840	Plantae	Rhodophyta	Florideophyceae	Bonnemaisoniales	Bonnemaisoniaceae	Asparagopsis			
Asparagopsis sp3	143809	exact	urn:lsid:marinespecies.org:taxname:143809	Asparagopsis	Montagne, 1840	143809	Asparagopsis	Montagne, 1840	Plantae	Rhodophyta	Florideophyceae	Bonnemaisoniales	Bonnemaisoniaceae	Asparagopsis			
Astraea sp1	739035	exact	urn:lsid:marinespecies.org:taxname:739035	Astraea	Lamarck, 1801	517592	Astrea	Lamarck, 1801	Animalia	Cnidaria	Anthozoa	Scleractinia	Merulinidae	Astraea			
Astraea tecta	413407	near_1	urn:lsid:marinespecies.org:taxname:413407	Lithopoma americanum	(Gmelin, 1791)	413407	Lithopoma americanum	(Gmelin, 1791)	Animalia	Mollusca	Gastropoda	Trochida	Turbinidae	Lithopoma	americanum		
Balanus sp2	106122	exact	urn:lsid:marinespecies.org:taxname:106122	Balanus	Costa, 1778	106122	Balanus	Costa, 1778	Animalia	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus			
Bivalvia spp	105	exact	urn:lsid:marinespecies.org:taxname:105	Bivalvia	Linnaeus, 1758	105	Bivalvia	Linnaeus, 1758	Animalia	Mollusca	Bivalvia						
Brachidontes dominguensis	420695	phonetic	urn:lsid:marinespecies.org:taxname:420695	Brachidontes domingensis	(Lamarck, 1819)	420695	Brachidontes domingensis	(Lamarck, 1819)	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Brachidontes		domingensis	
Brachidontes sp1	138215	exact	urn:lsid:marinespecies.org:taxname:138215	Brachidontes	Swainson, 1840	138215	Brachidontes	Swainson, 1840	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Brachidontes			
Brachidontes sp2	138215	exact	urn:lsid:marinespecies.org:taxname:138215	Brachidontes	Swainson, 1840	138215	Brachidontes	Swainson, 1840	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Brachidontes			
Brachidontes sp3	138215	exact	urn:lsid:marinespecies.org:taxname:138215	Brachidontes	Swainson, 1840	138215	Brachidontes	Swainson, 1840	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Brachidontes			
Brachidontes sp4	138215	exact	urn:lsid:marinespecies.org:taxname:138215	Brachidontes	Swainson, 1840	138215	Brachidontes	Swainson, 1840	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Brachidontes			
Brachidontes sp5	138215	exact	urn:lsid:marinespecies.org:taxname:138215	Brachidontes	Swainson, 1840	138215	Brachidontes	Swainson, 1840	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Brachidontes			
Brachidontes sp6	138215	exact	urn:lsid:marinespecies.org:taxname:138215	Brachidontes	Swainson, 1840	138215	Brachidontes	Swainson, 1840	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Brachidontes			
Brachidontes sp7	138215	exact	urn:lsid:marinespecies.org:taxname:138215	Brachidontes	Swainson, 1840	138215	Brachidontes	Swainson, 1840	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Brachidontes			
